a_um,b_um
9.8,7.8
7.4,4.2
21.8,8.81
8.8,4.2
6.8,3.2
13.81,6.21
16.2,12.01
16.33,9.68
11.29,6.05
10.28,5.04
13.11,8.48
9.88,5.44
15.93,4.23
22.38,9.48
11.29,5.04
11.69,5.44
10,4.12
9.61,3.73
12.35,5.5
18.23,9.62
15.88,5.49
21.96,9.22
13.33,4.92
20.79,3.73
10,4.51
12.16,2.75
12.35,3.14
18.05,6.27
20.17,8.47
19.96,11.1
16.94,10.89
16.94,10.29
11.1,4.25
17.74,6.65
22.38,15.33
13.71,5.24
16.94,5.44
14.52,4.65
22.99,11.7
16.73,6.65
17.75,7.87
25.4,20.58
18.75,7.46
16.94,6.87
16.33,7.47
11.69,6.68
25.22,16.94
17.34,9.89
19.16,8.28
11.69,7.46
38.31,18.75
13.92,5.65
15.53,8.28
19.15,5.48
12.7,7.06
15.93,7.86
25.41,16.33
20.97,12.1
27.22,14.11
23.39,10.28
24.8,9.89
15.75,6.45
18.35,9.31
23.39,8.87
23.79,7.47
19.15,6.05
14.92,6.86
23.39,14.52
15.93,7.06
25.61,14.11
24.8,9.48
22.98,13.71
23.39,14.52
25.81,17.34
20.16,5.65
15.22,10.87
14.62,9.09
19.77,13.84
27.08,15.22
26.09,7.73
13.24,5.55
13.24,6.92
21.15,11.07
18.19,11.46
11.07,5.53
15.02,10.08
13.84,7.71
22.53,14.25
12.85,9.68
21.54,11.86
18.77,9.09
17.79,9.68
16.01,6.72
15.61,10.47
17.79,11.86
19.77,9.69
14.63,7.32
20.16,7.05
25.69,15.41
31.23,17
33.41,17.79
22.53,8.36
21.95,11.1
26.09,9.29
18.78,8.72
21.54,8.3
17.79,8.7
16.6,7.71
21.94,12.06
21.15,10.08
24.11,13.64
14.65,7.72
11.46,7.51
17.98,17.79
14.24,6.32
24.7,16.6
15.61,7.31
15.62,11.46
