a_um,b_um
18.45,6.94
14.69,10.12
13.89,6.94
10.92,7.75
8.73,5.16
7.94,4.96
6.35,2.78
12.10,6.55
14.68,6.76
6.94,3.57
11.91,6.55
15.68,9.73
12.51,6.75
14.68,6.75
10.12,5.16
7.75,4.17
12.95,7.98
11.95,7.78
11.95,10.56
12.15,10.76
12.95,8.18
14.34,8.96
13.75,10.59
14.34,6.98
17.14,9.36
14.35,7.99
19.52,11.16
8.77,4.58
13.94,7.79
21.31,11.55
15.74,9.76
11.16,4.98
16.74,9.36
14.34,5.98
21.33,11.95
14.21,7.41
13.00,5.63
15.80,8.40
17.62,13.01
10.61,7.00
14.40,8.01
14.00,9.20
25.80,15.80
13.00,9.61
15.80,8.41
19.00,12.21
21.00,14.00
14.00,7.40
13.40,9.80
18.00,10.21
8.80,4.20
9.20,4.60
13.00,5.60
13.01,6.40
18.00,10.21
12.00,6.20
15.80,11.02
10.81,6.00
12.61,7.00
13.00,9.60
12.01,6.60
15.80,7.80
15.40,9.20
10.81,5.20
28.11,17.53
15.34,7.77
21.72,14.34
19.92,10.16
15.14,9.36
11.55,5.99
16.53,8.37
14.34,7.37
13.35,8.37
21.72,13.35
11.56,5.98
15.14,9.36
13.94,6.57
13.75,7.77
15.34,6.59
17.93,6.97
13.55,6.39
20.55,16.21
14.23,7.31
14.23,9.09
24.71,17.39
10.87,5.53
15.61,7.72
17.39,9.49
12.46,7.71
10.87,5.93
15.02,10.08
15.62,7.31
15.22,8.70
10.47,6.52
14.82,8.70
11.46,6.92
20.95,12.06
18.38,12.85
13.24,9.68
14.82,10.09
19.76,11.07
13.64,9.68
11.07,6.92
12.45,6.92
13.25,7.31
12.85,7.51
17.98,9.09
12.25,7.71
13.24,5.53
10.47,5.53
15.63,9.13
14.25,9.68
13.24,8.70
12.45,6.92
16.42,10.08
10.87,4.94
14.62,8.70
27.48,21.94
