a_um,b_um
16.94,9.27
9.27,5.65
17.74,7.87
8.47,4.03
22.83,8.88
13.71,6.65
14.11,7.46
16.74,10.28
14.92,7.87
10.69,5.24
12.51,9.27
13.12,4.64
11.29,5.24
14.53,6.45
8.93,4.23
8.48,3.63
11.74,5.44
9.27,5.04
11.70,7.46
14.94,7.86
11.29,5.65
10.28,5.04
14.93,9.28
11.70,8.47
12.70,7.06
20.40,10.21
13.01,6.40
15.60,6.80
12.64,8.21
14.41,6.00
13.42,5.60
14.82,8.81
12.01,6.00
12.00,4.60
11.62,5.00
12.40,6.40
14.75,9.79
11.17,7.00
9.36,5.99
10.16,4.58
13.58,5.59
9.76,6.40
15.16,6.57
12.95,8.77
12.15,6.98
11.64,5.24
15.74,8.77
9.76,4.58
9.76,5.00
9.81,5.18
18.53,11.96
23.55,18.93
10.56,3.81
11.56,7.37
9.56,5.58
10.17,3.79
14.74,5.98
13.55,7.78
10.96,5.98
11.96,4.78
13.94,5.61
10.17,4.58
15.48,9.33
10.33,5.66
13.11,7.86
16.36,10.78
11.69,5.44
13.58,9.98
18.48,9.98
11.78,7.89
14.14,7.48
29.53,17.40
12.54,8.27
17.96,11.11
10.31,5.24
16.66,10.55
15.53,10.89
16.95,7.86
16.36,8.91
15.59,7.46
11.70,7.47
29.52,16.76
31.30,21.01
16.74,13.10
14.11,8.88
12.10,8.87
15.34,9.07
13.51,6.05
16.94,8.27
23.39,14.92
19.56,13.51
11.69,7.66
16.36,9.93
14.52,10.31
24.19,9.88
10.28,6.67
30.45,18.78
14.11,12.10
15.74,9.98
18.16,6.05
13.55,6.67
20.99,13.52
22.78,16.35
15.90,9.64
