a_um,b_um
23.613,13.3995
20.4035,12.5995
17.604,8.7995
21.603,17.1995
13.4055,6.6
9.808,6
11.1995,8.2095
17.604,10.1995
13.8055,7.4105
15.3995,10.2075
11.1995,7.4
18.404,11.207
15.8045,7.8
21.403,5.632
26.799,16.2045
20.7995,14.3995
16.1995,9.808
18.004,8.3995
16.5995,6.4125
23.6405,16.1995
19.9995,12.406
16.5995,9.2085
21.803,12.5995
21.5995,13.9995
17.9995,9.608
17.1995,10.2075
13.4055,6.8115
13.4055,6.8
16.9995,9.1995
13.7995,7.4105
19.5995,11.007
22.1995,12.9995
16.1995,9.5995
26.399,14.7995
19.8035,13.024
16.1995,9.2345
20.803,10.1995
10.7995,4.6
11.9995,6
12.9995,6.013
22.1565,12.2595
16.6195,11.4625
12.852,9.091
17.3915,8.6955
11.074,6.917
16.996,8.1245
20.162,12.4505
22.9665,16.408
28.854,16.408
11.067,6.917
10.079,6.324
14.229,8.3005
15.02,10.8765
18.182,11.0955
18.3795,11.074
14.229,6.917
23.926,18.779
31.0275,21.5415
27.4815,15.2175
7.905,5.9815
16.013,7.3125
11.4625,6.324
11.4695,6.3365
11.8645,7.3125
12.253,8.3005
14.6245,8.3005
13.642,7.323
14.6245,10.482
15.415,6.1265
15.02,7.7075
13.8395,6.917
11.067,5.5335
20.5685,11.4625
17.7865,7.51
17.3915,9.322
14.6245,8.6955
13.278,6.917
19.17,13.8465
12.4505,7.7075
13.8565,7.3125
12.846,6.917
16.403,8.103
12.4505,8.338
13.6365,7.7305
20.755,14.251
14.822,7.3125
11.582,7.8945
13.421,9.737
10.1315,6.9785
9.482,7.373
8.4855,4.83
10.5745,6.005
