Label;Area_px
60_40;100676
60_40;8816
60_40;10006
60_40;19076
60_40;475392
60_40;62037
60_40;12064
60_40;15388
60_40;43728
60_40;100918
60_40;122870
60_40;246296
60_40;152088
60_40;62480
60_40;82463
60_40;29556
60_40;15836
60_40;210608
60_40;75236
60_40;500184
60_40;102896
60_40;189980
60_40;20612
60_40;15836
60_40;4048
60_40;17156
60_40;9152
60_40;10916
60_40;8172
60_40;30156
60_40;19604
60_40;3016
60_40;5532
60_40;14100
60_40;311736
60_40;4048
60_40;7548
60_40;41152
60_40;25448
60_40;11704
60_40;88932
60_40;8172
60_40;6360
60_40;6360
60_40;5532
60_40;17230
60_40;6668
60_40;6944
60_40;6944
60_40;799548
60_40;406040
60_40;67916
60_40;256980
60_40;249760
60_40;1048616
60_40;365324
60_40;26024
60_40;26612
60_40;30912
60_40;16756
60_40;14080
60_40;13240
60_40;10212
60_40;4060
60_40;2828
60_40;2828
60_40;6092
60_40;4304
60_40;4284
60_40;8492
60_40;19604
60_40;13692
60_40;4780
60_40;8708
60_40;6944
60_40;27902
60_40;210696
60_40;9852
60_40;16268
60_40;35976
60_40;10560
60_40;43728
60_40;7548
60_40;28324
60_40;4284
60_40;8816
60_40;121840
60_40;52256
60_40;69744
60_40;102896
60_40;90265
60_40;246288
60_40;28932
60_40;45992
60_40;826764
60_40;83396
60_40;21648
60_40;5812
60_40;50672
60_40;14536
60_40;3016
60_40;5492
60_40;29556
60_40;5264
60_40;16756
60_40;191612
60_40;5460
60_40;38004
60_40;30788
60_40;5492
60_40;4304
60_40;215616
60_40;32016
60_40;58928
60_40;38704
60_40;7232
60_40;4220
60_40;7220
60_40;3396
60_40;10580
60_40;5812
60_40;9432
60_40;9852
60_40;13272
60_40;14536
60_40;7548
60_40;6360
60_40;8172
60_40;14080
60_40;432420
60_40;72678
60_40;30788
60_40;451248
60_40;12864
60_40;234984
60_40;567480
60_40;376016
60_40;31576
60_40;18758
60_40;53900
60_40;138528
60_40;8800
60_40;15356
60_40;12472
60_40;12472
60_40;233740
60_40;15380
60_40;40832
60_40;27092
60_40;32688
71_29;37336
71_29;26150
71_29;33832
71_29;4780
71_29;5532
71_29;6668
71_29;5020
71_29;6360
71_29;5812
71_29;3856
71_29;3816
71_29;3857
71_29;3212
71_29;7860
71_29;12064
71_29;156572
71_29;413992
71_29;146579
71_29;18168
71_29;133324
71_29;110988
71_29;91803
71_29;33964
71_29;6084
71_29;24194
71_29;8665
71_29;11304
71_29;30791
71_29;30128
71_29;32648
71_29;22172
71_29;10212
71_29;5532
71_29;23868
71_29;23926
71_29;12096
71_29;38544
71_29;7840
71_29;22828
71_29;22178
71_29;11412
71_29;92397
71_29;24162
71_29;14214
71_29;7468
71_29;6864
71_29;10184
71_29;32712
71_29;9480
71_29;6636
71_29;10212
71_29;7860
71_29;14100
71_29;156928
71_29;9856
71_29;8184
71_29;6944
71_29;134627
71_29;19083
71_29;10560
71_29;10008
71_29;11304
71_29;8265
71_29;9500
71_29;5812
71_29;6360
71_29;2812
71_29;2292
71_29;21516
71_29;3212
71_29;7548
71_29;5812
71_29;9856
71_29;8800
71_29;3412
71_29;25984
71_29;25984
71_29;118552
71_29;4780
71_29;5812
71_29;30172
71_29;6084
71_29;5812
71_29;70158
71_29;6944
71_29;6044
71_29;19123
71_29;8823
71_29;3016
71_29;6284
71_29;12892
71_29;28360
71_29;7220
71_29;3816
71_29;2812
71_29;34636
71_29;9852
71_29;4528
71_29;162124
71_29;9856
71_29;6636
71_29;18624
71_29;13684
71_29;5208
71_29;7840
71_29;9500
71_29;14956
71_29;12472
71_29;200000
71_29;8492
71_29;9152
71_29;16404
71_29;4528
71_29;287914
71_29;50672
71_29;112172
71_29;48304
71_29;40832
71_29;30788
71_29;56428
71_29;24344
71_29;45232
71_29;18168
71_29;7220
71_29;337418
71_29;60695
71_29;21632
71_29;22712
71_29;7548
71_29;7840
71_29;16134
71_29;2828
71_29;5544
71_29;10212
71_29;6044
71_29;13692
71_29;7548
71_29;115516
71_29;21107
71_29;8172
71_29;377738
71_29;214012
71_29;43012
71_29;133236
71_29;249034
71_29;16220
71_29;15584
71_29;14520
71_29;32688
71_29;153762
71_29;6084
71_29;12016
71_29;88476
71_29;53924
71_29;21128
71_29;8148
71_29;32692
71_29;44468
71_29;22172
71_29;10688
71_29;23712
71_29;33992
71_29;9752
71_29;12744
71_29;3412
71_29;3212
71_29;327688
71_29;22636
71_29;25448
71_29;18580
71_29;36448
71_29;37960
71_29;37336
71_29;10944
71_29;518486
71_29;14100
71_29;15824
71_29;24864
71_29;13272
71_29;11292
71_29;126912
71_29;23232
71_29;32016
71_29;22684
71_29;14100
71_29;16756
71_29;10944
71_29;7232
71_29;21128
71_29;16268
71_29;544969
71_29;35284
71_29;33300
71_29;12472
71_29;19076
71_29;32016
71_29;11704
71_29;40028
71_29;48940
71_29;92668
71_29;24328
71_29;7840
71_29;79424
71_29;22172
71_29;18580
71_29;43736
71_29;7860
71_29;42096
71_29;49060
71_29;20478
71_29;41468
71_29;19588
71_29;10580
71_29;11704
71_29;6944
71_29;50688
71_29;14100
71_29;2644
71_29;3856
71_29;12452
71_29;9852
71_29;5020
71_29;69712
71_29;76416
71_29;33300
71_29;17196
71_29;23196
71_29;12472
71_29;10916
71_29;2624
71_29;2452
71_29;17196
71_29;5768
71_29;40860
71_29;3620
71_29;13692
71_29;4780
71_29;12892
71_29;3212
71_29;2292
71_29;10560
71_29;3016
71_29;38024
71_29;92952
71_29;3620
71_29;79400
71_29;29420
71_29;8492
71_29;4548
71_29;35976
71_29;23780
71_29;6360
71_29;8492
71_29;8148
71_29;2812
71_29;1640
71_29;10464
71_29;9480
71_29;7220
71_29;8492
71_29;9116
71_29;28360
71_29;14496
71_29;30156
71_29;54444
71_29;31420
71_29;4780
71_29;3856
71_29;3228
71_29;36624
71_29;4780
71_29;4304
71_29;4304
71_29;4284
71_29;2452
71_29;17652
71_29;12970
71_29;12055
71_29;2812
85_15;5544
85_15;10304
85_15;6084
85_15;9764
85_15;9495
85_15;26444
85_15;23070
85_15;10560
85_15;28053
85_15;13272
85_15;3640
85_15;5267
85_15;14520
85_15;6044
85_15;2828
85_15;58298
85_15;34470
85_15;15375
85_15;19140
85_15;27600
85_15;10944
85_15;13362
85_15;13901
85_15;5532
85_15;6360
85_15;13901
85_15;57030
85_15;6636
85_15;5544
85_15;13272
85_15;10580
85_15;12724
85_15;17425
85_15;5264
85_15;8816
85_15;6360
85_15;6668
85_15;4068
85_15;4594
85_15;62224
85_15;21516
85_15;3640
85_15;4968
85_15;58744
85_15;11856
85_15;7548
85_15;18624
85_15;7482
85_15;5532
85_15;43894
85_15;2128
85_15;6360
85_15;10944
85_15;5532
85_15;28968
85_15;17196
85_15;12566
85_15;45232
85_15;8816
85_15;8172
85_15;30330
85_15;8816
85_15;30788
85_15;18506
85_15;27184
85_15;17676
85_15;24848
85_15;26024
85_15;7860
85_15;26584
85_15;24864
85_15;85536
85_15;14963
85_15;6866
85_15;36985
85_15;12080
85_15;27902
85_15;9116
85_15;8492
85_15;15388
85_15;63572
85_15;34664
85_15;3642
85_15;3412
85_15;1968
85_15;3016
85_15;2128
85_15;3412
85_15;5532
85_15;1264
85_15;3016
85_15;27184
85_15;14024
85_15;18580
85_15;6360
85_15;7840
85_15;3176
85_15;6668
85_15;5812
85_15;2644
85_15;6944
85_15;3396
85_15;4780
85_15;3396
85_15;106368
85_15;16292
85_15;4048
85_15;6092
85_15;18168
85_15;47512
85_15;4304
85_15;4048
85_15;18148
85_15;20108
85_15;2216
85_15;8548
85_15;14536
85_15;42264
85_15;9176
85_15;7840
85_15;158341
85_15;86444
85_15;46792
85_15;49060
85_15;52204
85_15;40728
85_15;30752
85_15;16756
85_15;22152
85_15;36624
85_15;19588
85_15;11704
85_15;17676
85_15;14536
85_15;4528
85_15;17304
85_15;14924
85_15;7232
85_15;3856
85_15;12472
85_15;4780
85_15;20584
85_15;180548
85_15;4284
85_15;18168
85_15;6944
85_15;33964
85_15;2452
85_15;7548
85_15;27092
85_15;11304
85_15;5024
85_15;16724
85_15;40108
85_15;5812
85_15;7220
85_15;55540
85_15;27768
85_15;52688
85_15;32036
85_15;4284
85_15;515288
85_15;84396
85_15;4548
85_15;2472
85_15;2812
85_15;1664
85_15;1132
85_15;118192
85_15;7232
85_15;23780
85_15;12472
85_15;13272
85_15;2812
85_15;4968
85_15;2828
85_15;4304
85_15;31428
85_15;2768
85_15;3596
85_15;4304
85_15;4548
85_15;5024
85_15;5272
85_15;10212
85_15;4780
85_15;5024
85_15;26584
85_15;6360
85_15;10568
