Label,Area_px,Diameter_um,SurfArea_um2
NC,23780,20.969980255011457,1381.4841793561714
NC,3856,8.444240793275863,224.01190057179963
NC,24864,21.442607446697842,1444.4584792057126
NC,3770,8.349544265818269,219.015784532076
NC,35976,25.792802559179453,2090.0031470360645
NC,28968,23.144689151957596,1682.8777841711342
NC,80424,38.56425369213495,4672.181818357475
NC,3620,8.181753325508968,210.30162864883678
NC,25448,21.692965444421247,1478.3855927777902
NC,6360,10.844777702515705,369.4802094493377
NC,7840,12.040655415237193,455.45988083063014
NC,4060,8.66473157405717,235.86315257300484
NC,10124,13.682585310720533,588.1474277460842
NC,36624,26.024055955133182,2127.6483004516576
NC,12096,14.95591490513556,702.7095304244008
NC,6668,11.104266903162593,387.37327619625535
NC,5812,10.367042983873507,337.6444932892376
NC,3640,8.204323722391422,211.46351609993545
NC,4780,9.401692544105831,277.69110081255263
NC,12892,15.440175941027828,748.9526509781227
NC,12824,15.39940181299309,745.0022336443877
NC,13240,15.647180373927437,769.1694926272374
NC,122244,47.54511175018255,7101.688478604534
NC,15836,17.112554447043795,919.9824837798288
NC,8172,12.292954534323801,474.7472125188659
NC,15388,16.868761004505494,893.9562048752215
NC,11704,14.71157780485261,679.9365363828691
NC,18108,18.298999248655985,1051.9728982246233
NC,107524,44.590752609387835,6246.539314596004
NC,6944,11.331749162272096,403.4073230214152
NC,7528,11.798638681488933,437.3344365934928
NC,4968,9.584796354627477,288.61284285287894
NC,29568,23.383152991208654,1717.7344077040907
NC,34636,25.30789138354948,2012.1566878124622
NC,27736,22.64717368198474,1611.3055171834635
NC,33952,25.056752170029494,1972.4201369848918
NC,16268,17.3443959067215,945.0792527235573
NC,9152,13.009185371748387,531.6796976226948
NC,7860,12.056003611927059,456.62176828172863
NC,5812,10.367042983873507,337.6444932892376
NC,8968,12.877747226250044,520.990333072588
NC,4528,9.150510116310127,263.0513189287108
NC,19588,19.032118981180506,1137.952569605916
NC,10212,13.741922643478333,593.2597325309177
NC,67868,35.4262042300383,3942.7488765578055
NC,2812,7.211070716741581,163.3613756244556
NC,3016,7.468059423805288,175.21262762566076
NC,12472,15.186585777627108,724.5530145050534
NC,22712,20.493672240177283,1319.4393894675086
NC,8816,12.768147384392824,512.1599884442392
NC,8676,12.666361189913797,504.02677628654936
NC,7548,11.814301291174374,438.49632404459135
NC,22712,20.493672240177283,1319.4393894675086
NC,22712,20.493672240177283,1319.4393894675086
NC,3356,7.877765928033491,194.96471429433603
NC,6636,11.077589947139408,385.5142562744977
NC,3032,7.487842397335899,176.1421375865396
NC,1804,5.775776282115094,104.80224808908883
NC,2292,6.510276035744687,133.1523018958934
NC,2012,6.099666416218662,116.88587758051374
NC,4048,8.651917076178707,235.16602010234575
NC,24344,21.217199798581465,1414.2494054771503
NC,2080,6.20188578426155,120.83629491424878
NC,16724,17.585801868266845,971.5702866086042
NC,3412,7.943220301072766,198.21799915741198
NC,2472,6.761083968007611,143.60928895578033
NC,4284,8.90054965653357,248.8762920253087
NC,3016,7.468059423805288,175.21262762566076
NC,3016,7.468059423805288,175.21262762566076
NC,16268,17.3443959067215,945.0792527235573
NC,19116,18.80141810404516,1110.5320257599903
NC,1968,6.032601579090667,114.32972518809693
NC,2644,6.992344576633827,153.60152103522782
NC,14100,16.147364643615216,819.1306530244749
NC,3228,7.726073927814374,187.52863460730532
NC,9152,13.009185371748387,531.6796976226948
NC,10212,13.741922643478333,593.2597325309177
NC,14080,16.135908548066244,817.9687655733766
NC,4048,8.651917076178707,235.16602010234575
NC,78144,38.013680076087645,4539.72664893224
NC,376660,83.45778370066193,21881.826366538917
NC,97208,42.397778373026036,5647.237767319374
NC,178545,57.460042479747386,10372.459747819497
NC,54544,31.75890998432456,3168.6994566359554
NC,25448,21.692965444421247,1478.3855927777902
NC,97296,42.41696486221558,5652.350072104206
NC,91820,41.20602679584487,5334.225287993426
NC,13692,15.912028267401888,795.4281490220649
NC,14924,16.612489390255693,867.0004160097351
NC,19528,19.002947985164266,1134.4669072526203
NC,58112,32.781212091530136,3375.9801779119357
NC,14956,16.63029008048465,868.8594359314931
NC,33340,24.82989563577263,1936.8663809812765
NC,40832,27.478462103027454,2372.1094201627916
NC,26540,22.1535105140335,1541.824647607771
NC,23764,20.96292440681205,1380.5546693952924
NC,10580,13.987333511644938,614.638461631131
NC,14956,16.63029008048465,868.8594359314931
NC,10212,13.741922643478333,593.2597325309177
NC,9852,13.497529893192553,572.3457584111438
NC,46008,29.168142543454813,2672.8058925070955
NC,42264,27.956152137399968,2455.300561661448
NC,11264,14.43239535687842,654.3750124587011
NC,12864,15.42339964867182,747.326008546585
NC,26540,22.1535105140335,1541.824647607771
NC,13240,15.647180373927437,769.1694926272374
NC,8816,12.768147384392824,512.1599884442392
NC,18624,18.557889219146265,1081.949594462966
NC,11704,14.71157780485261,679.9365363828691
NC,60680,33.49769179915916,3525.1665266329874
NC,8492,12.531327758064306,493.3374117364428
NC,21084,19.745521125945608,1224.8617509480875
NC,19604,19.039890365326826,1138.8820795667948
NC,58112,32.781212091530136,3375.9801779119357
NC,30788,23.860681042494175,1788.609542221102
NC,44492,28.68356058008887,2584.734823713826
NC,22152,20.239443533430496,1286.9065408367496
NC,27768,22.66023433686621,1613.1645371052216
NC,24848,21.43570717059103,1443.5289692448337
NC,14496,16.372544766399702,842.1360245562262
NC,26024,21.937095280086645,1511.847951369428
NC,17676,18.079403304209276,1026.8761292808952
NC,37336,26.275802588967814,2169.0114937107655
NC,58876,32.99599618454354,3420.3642785438997
