a_um,b_um,field,V_um3,R_um,D_um,Ss_um2,Sps_um2,sigma_
8.88,5.04,H1,944.8495226012097,6.087299635151556,12.174599270303112,465.64958810887515,489.9640537549618,0.05221622925692704
7.86,4.64,H1,708.8382038807371,5.531201785401169,11.062403570802338,384.4579702832118,401.9462968811954,0.04548826646798543
6.45,4.03,H1,438.79171229810373,4.714003879911223,9.428007759822446,279.247783928235,289.4498857042292,0.03653422645823423
8.87,4.64,H1,799.9230112496357,5.758639081772639,11.517278163545278,416.72502820062175,444.8555808540653,0.06750387125752577
8.06,5.04,H1,857.5999045231702,5.8938449264571275,11.787689852914255,436.5231433253971,452.4185089937408,0.036413569157534464
8.27,3.83,H1,508.1496921313763,4.950332297523407,9.900664595046814,307.9488375268853,336.76196877419375,0.09356466963377619
10.29,5.44,H1,1275.5626187669316,6.72776879304515,13.4555375860903,568.7900363426049,606.0023298302555,0.06542360292900073
16.33,9.27,H1,5878.063350252546,11.195630355899507,22.391260711799013,1575.0957730991306,1657.2927129891339,0.05218535995958784
6.45,1.81,H1,88.51267655485948,2.7646423394532973,5.529284678906595,96.04787783040611,118.89262157191982,0.23784745959563192
10.69,6.05,H1,1638.9928682017173,7.314132408834394,14.628264817668788,672.2572589287781,707.6994432853822,0.052721162748142314
20.56,18.75,H1,30277.09919897163,19.334897977479,38.669795954958,4697.790373795289,4704.780048263029,0.001487864274815065
11.3,5.65,H1,1510.9982050289175,7.118553931906033,14.237107863812065,636.7858779252117,685.6453517543687,0.07672826223526164
11.7,7.86,H1,3027.7468650267692,8.974501158122694,17.949002316245387,1012.1164881525694,1038.867211494415,0.0264304787590941
17.74,6.05,H1,2719.9002321701087,8.65940638671007,17.31881277342014,942.2933088154099,1107.1527944471231,0.1749555940697105
10.28,4.64,H1,927.081009655722,6.04889935581908,12.09779871163816,459.7932392926313,505.56349177482997,0.09954529247235966
15.93,9.27,H1,5734.081394336991,11.103462104859018,22.206924209718036,1549.2685092772138,1623.4691812410447,0.04789400386021403
14.8,7.0,H1,3037.710656511091,8.984334889549976,17.96866977909995,1014.3357389908853,1104.3997235900006,0.08879109858508549
11.6,5.2,H1,1313.8726907941186,6.794459154197494,13.588918308394987,580.1224178303132,638.8124791906416,0.10116840783335368
13.0,6.0,H1,1960.3538158400308,7.763936076656306,15.527872153312613,757.4845271076584,828.9536626508263,0.09435062101672509
9.6,5.0,H1,1005.3096491487337,6.214465011907717,12.428930023815434,485.3078972473562,518.4892208036865,0.06837169505077756
10.8,5.6,H1,1418.6929768786931,6.970542880276444,13.941085760552888,610.5806970471267,652.8710262409287,0.06926247324608403
12.6,5.6,H1,1655.141806358475,7.338075903784909,14.676151807569818,676.6658568514267,746.508248650726,0.1032154808641903
10.6,5.2,H1,1200.6078036566946,6.593320453738286,13.186640907476573,546.2836875959697,590.4095637512839,0.08077465455631483
9.8,4.6,H1,868.6210471861442,5.918985095070885,11.83797019014177,440.2550605725465,480.0997336106001,0.0905036116705531
13.4,6.0,H1,2020.672394788955,7.842763152090927,15.685526304181854,772.9440589762925,851.3525249600608,0.1014413204593545
13.01,4.6,H1,1153.138757539973,6.505254922113327,13.010509844226654,531.7879643517607,619.1210070287676,0.1642253088286123
10.21,5.1,H1,1112.383923242504,6.4276965370223555,12.855393074044711,519.1831553506186,559.1260723210233,0.07693415427438177
8.51,4.32,H1,665.2511944845252,5.415422577345667,10.830845154691334,368.53145898575104,395.6459187147702,0.07357434234689708
11.96,8.76,H1,3844.3949783370413,9.718064950366232,19.436129900732464,1186.7779227567812,1206.2548769386133,0.016411624962308746
18.92,11.95,H1,11317.370974103642,13.927900243290868,27.855800486581735,2437.7050617278655,2522.8532957596817,0.034929670274164604
16.14,9.36,H1,5923.028702009596,11.224105563788994,22.448211127577988,1583.1182275543706,1659.865081754465,0.04847828346885663
13.35,5.99,H1,2006.4277225471953,7.824290565031453,15.648581130062906,769.3072129175697,846.9685614906161,0.10094972108544065
31.87,24.11,H1,77600.60256209278,26.460141444556932,52.920282889113864,8798.207227050463,8914.755199892887,0.013246786513972042
23.12,14.34,H1,19914.74462825781,16.814942148486757,33.629884296973515,3553.044272004827,3686.780236101566,0.03763982485399153
21.12,14.74,H1,19221.0668960101,16.617395651066744,33.23479130213349,3470.0504157718956,3545.463014421064,0.02173242161163058
18.53,11.56,H1,10372.41051558265,13.52893766717945,27.0578753343589,2300.049886565509,2384.6069807904582,0.03676315662492513
27.09,14.95,H1,25361.79569156937,18.226241906485544,36.45248381297109,4174.496720996236,4413.587983826432,0.05727427251952344
20.32,12.15,H1,12565.068738363525,14.421997629021917,28.843995258043833,2613.7298857430897,2727.1420693142472,0.043390934996679675
23.51,12.95,H1,16515.083554870642,15.797828274653245,31.59565654930649,3136.2064331402153,3316.9151631515647,0.05762016431756689
15.74,10.17,H1,6819.228500954222,11.763833740699917,23.527667481399835,1739.0321857477632,1794.1080663887597,0.03167042053181701
16.14,8.37,H1,4736.342015872872,10.418011091271136,20.836022182542273,1363.8904703723945,1458.3205855631993,0.06923584938974003
13.95,8.37,H1,4093.67850814291,9.923732319527273,19.847464639054547,1237.5419982119938,1290.5497734196888,0.042833112156420494
14.17,8.77,H1,4565.177270348105,10.290970793870969,20.581941587741937,1330.8299173486146,1381.3564485414338,0.03796618225526682
21.32,12.35,H1,13621.022955483226,14.815183620070295,29.63036724014059,2758.1884851627487,2892.43484977837,0.04867193280581761
18.18,10.76,H1,8816.719636472642,12.815615642126945,25.63123128425389,2063.9007635709736,2156.9017530208507,0.04506078542699221
17.93,10.96,H1,9021.733773636413,12.914188838687203,25.828377677374405,2095.7724607394352,2179.3589268622723,0.039883368871707514
29.91,21.72,H1,59105.06022152588,24.16454849635403,48.32909699270806,7337.823038213647,7464.812970034013,0.01730621345854666
23.51,15.34,H1,23173.517364168798,17.686196645652473,35.372393291304945,3930.7802285233274,4049.9248992991434,0.030310692495920888
16.93,11.56,H1,9476.789532046101,13.127767466977543,26.255534933955087,2165.6666807706583,2218.4535762871274,0.024374432125300327
23.11,12.95,H1,16234.095319143364,15.707720349981305,31.41544069996261,3100.531768601803,3269.488008169698,0.05449266518694196
27.29,17.53,H1,35128.20650568933,20.316822637021996,40.63364527404399,5187.062042124271,5355.612157837577,0.03249433192518336
20.32,14.74,H1,18492.99618025214,16.404873665545725,32.80974733109145,3381.8601515521523,3440.7737060906256,0.01742045853416907
18.92,9.36,H1,6943.228193433802,11.834709713515899,23.669419427031798,1760.0503167823992,1899.0490754321856,0.07897430961172414
13.55,7.97,H1,3605.326056395375,9.51229505021597,19.02459010043194,1137.0524265792778,1189.4608637167346,0.04609148699952459
23.51,13.94,H1,19136.688425534867,16.593043773358456,33.18608754671691,3459.8875324358105,3614.753827198668,0.0447604996726092
17.53,9.16,H1,6161.14560827989,11.37254387867401,22.74508775734802,1625.2684555036208,1735.337350185627,0.06772351626544015
19.53,11.95,H1,11682.254499167238,14.076003018202567,28.152006036405133,2489.823528183428,2588.737139658738,0.039727157509623634
19.72,10.16,H1,8526.738336258266,12.673544930334673,25.347089860669346,2018.3946282896304,2160.793329501142,0.07055047571751571
