a_um,b_um,field,V_um3,R_um,D_um,Ss_um2,Sps_um2,sigma_
11.55,5.99,H1,1735.8981419790343,7.455530359046791,14.911060718093582,698.500867831342,746.8547798820895,0.06922527125968125
16.53,8.37,H1,4850.788941906975,10.50125625785405,21.0025125157081,1385.7738987025464,1488.456811033946,0.07409788308723253
14.34,7.37,H1,3262.66689499035,9.200851945364683,18.401703890729365,1063.8146057661718,1139.3973505493839,0.0710487940037039
13.35,8.37,H1,3917.6063142442904,9.779366608082228,19.558733216164455,1201.7975615127946,1245.0851742868829,0.036019055255528176
21.72,13.35,H1,16214.776304559622,15.701487005355052,31.402974010710103,3098.071469096431,3218.9859625684876,0.039028955489952555
11.56,5.98,H1,1731.6049210456522,7.449378949174975,14.89875789834995,697.3487049832905,745.9780844153069,0.06973466658001692
15.14,9.36,H1,5556.050467684342,10.98733899751267,21.97467799502534,1517.0325960477219,1574.8842800914956,0.038134766645418816
13.94,6.57,H1,2520.473421729542,8.442372379892678,16.884744759785356,895.6511185407753,975.88722785565,0.0895841111052238
13.75,7.77,H1,3477.2294171250383,9.398277091051018,18.796554182102035,1109.9575113940937,1168.7747989119664,0.052990575687891894
15.34,6.59,H1,2790.5178063507024,8.73370924351031,17.46741848702062,958.5335606715657,1065.4058672353679,0.11149563348509717
17.93,6.97,H1,3648.6689012105494,9.550261908152041,19.100523816304083,1146.1472794047884,1303.6900237829461,0.13745418866236125
13.55,6.39,H1,2317.552712057631,8.209442597446797,16.418885194893594,846.9098910972621,922.6659748231925,0.0894499928767869
20.55,16.21,H1,22618.63879352747,17.543892274852865,35.08778454970573,3867.780040911787,3905.056303065361,0.009637637549002598
14.23,7.31,H1,3185.1380724880614,9.127388815502941,18.254777631005883,1046.8946169176263,1121.3759194438906,0.07114498567731653
14.23,9.09,H1,4925.17057134317,10.554659376575817,21.109318753151634,1399.9041737738232,1446.5055048760494,0.03328894361147561
24.71,17.39,H1,31301.166212958287,19.550474532735052,39.100949065470104,4803.131426894221,4902.857491085745,0.020762718178629846
10.87,5.53,H1,1392.4141114405118,6.927235233554233,13.854470467108467,603.0172490877388,647.1148449600895,0.07312824954686237
15.61,7.72,H1,3896.9614805400925,9.76215804872922,19.52431609745844,1197.5717237175982,1292.2314454172276,0.07904305005280121
17.39,9.49,H1,6560.253417517021,11.612988668887885,23.22597733777577,1694.7196637914033,1795.3065788702581,0.05935312915047164
12.46,7.71,H1,3102.52584310179,9.047784877515452,18.095569755030905,1028.7133983960564,1067.8034554250683,0.037998977256406
10.87,5.93,H1,1601.133484867824,7.2573763245507,14.5147526491014,661.8645967626388,701.1886734748753,0.05941408092316958
15.02,10.08,H1,6392.630553815391,11.51322518323396,23.02645036646792,1665.7271404170763,1709.9737342576054,0.02656293024645695
15.62,7.31,H1,3496.2654035322216,9.415396083596349,18.830792167192698,1114.0047765882525,1215.5784881276418,0.09117888331724089
15.22,8.7,H1,4825.49385573629,10.482971036710646,20.965942073421292,1380.9521667581853,1451.3375210498027,0.05096871273742121
10.47,6.52,H1,1864.363030362643,7.63508643059231,15.27017286118462,732.550854785023,759.6800612072677,0.03703388815266084
14.82,8.7,H1,4698.674043496177,10.390319517692793,20.780639035385587,1356.6495338748343,1419.6217816727699,0.046417476456189544
11.46,6.92,H1,2298.716514188056,8.187140979614941,16.374281959229883,842.3147420735517,877.5325560611963,0.041810753425670644
20.95,12.06,H1,12763.425631254824,14.497492106890702,28.994984213781404,2641.1655623916477,2772.5536388413766,0.04974624776295866
18.38,12.85,H1,12712.775324641274,14.47828942775116,28.95657885550232,2634.1734749978436,2690.884314835426,0.02152889336099184
13.24,9.68,H1,5196.695965573086,10.745160326633414,21.490320653266828,1450.8939301796174,1474.9761267254078,0.016598178574507516
14.82,10.09,H1,6320.030081750076,11.469474285267754,22.93894857053551,1653.0914821095132,1693.9804199282369,0.024734830625674276
